ProDataCSV

Title: Mon Nov 11 13:01:29 2024

Remarks:
#User: Chirascan User
#Date: 2024/11/11
#Instrument: 0539
#DetectorType: LAAPD
#DichOS Calibration Correction Curve: 0539/1
#HV (CDDC channel): 0 v
#Time per point: 0.5 s
#MultiCellAutoChanger: Enabled
#Sample1: pNG_157
#Cell1 type: 
#Cell1 Pathlength: 1 mm
#Sample2: pNG_158
#Cell2 type: 
#Cell2 Pathlength: 1 mm
#Temperature: 28.19 C
#Multi cell repeat setting: Repeats made per position

Last Modified: Mon Nov 11 14:49:07 2024 by unknown.

Options:

Available Dimensions:,3
Wavelength,Wavelength: 200nm - 260nm,Step Size: 1nm,Bandwidth: 1nm
260,28.1356,28.086,28.0364
259,28.1356,28.086,28.0364
258,28.086,28.086,28.0364
257,28.086,28.086,28.0364
256,28.086,28.086,28.0364
255,28.1356,28.0364,28.0364
254,28.086,28.086,28.0364
253,28.1356,28.086,28.0364
252,28.086,28.086,28.0364
251,28.086,28.086,28.0364
250,28.086,28.0364,27.9868
249,28.086,28.086,28.0364
248,28.1356,28.086,27.9868
247,28.1356,28.086,27.9868
246,28.086,28.0364,28.0364
245,28.086,28.0364,27.9868
244,28.086,28.0364,28.0364
243,28.086,28.0364,28.0364
242,28.1356,28.086,27.9868
241,28.086,28.0364,28.0364
240,28.086,28.0364,28.0364
239,28.086,28.086,28.0364
238,28.1356,28.0364,28.0364
237,28.1356,27.9868,28.0364
236,28.086,28.086,28.0364
235,28.086,28.0364,27.9868
234,28.086,28.086,28.0364
233,28.086,28.086,27.9868
232,28.1356,28.086,28.0364
231,28.086,28.0364,28.0364
230,28.086,28.0364,28.0364
229,28.1356,28.0364,27.9868
228,28.1356,28.0364,27.9868
227,28.086,28.0364,28.0364
226,28.1356,28.0364,27.9868
225,28.086,28.0364,28.0364
224,28.086,28.0364,28.0364
223,28.1356,28.0364,28.0364
222,28.086,28.0364,27.9868
221,28.086,28.0364,28.0364
220,28.086,28.0364,27.9868
219,28.086,28.0364,27.9868
218,28.086,28.086,28.0364
217,28.086,28.0364,27.9868
216,28.1356,28.0364,28.0364
215,28.1356,28.0364,28.0364
214,28.086,28.0364,27.9868
213,28.086,28.0364,27.9868
212,28.086,28.0364,27.9868
211,28.086,28.0364,28.0364
210,28.086,28.0364,27.9868
209,28.086,28.0364,27.9868
208,28.086,28.0364,28.0364
207,28.086,28.0364,27.9868
206,28.086,28.0364,27.9868
205,28.086,28.0364,28.0364
204,28.086,28.0364,27.9868
203,28.086,28.0364,27.9868
202,28.086,28.0364,27.9868
201,28.086,28.0364,28.0364
200,28.086,28.0364,27.9868


History: 
User : Chirascan User
Version : Chirascan v.4.5.1825.0 Build : Feb 13 2017 14:36:02
DataStore created and initialized for data acquisition.
Time Stamp : Mon Nov 11 13:01:29 2024

----------------------------------------------------


